method,tau,S_f
trinomial,0.001250,98.782725
trinomial,0.002500,97.580267
trinomial,0.003750,97.580267
trinomial,0.005000,96.392446
trinomial,0.006250,96.392446
trinomial,0.007500,96.392446
trinomial,0.008750,96.392446
trinomial,0.010000,95.219085
trinomial,0.011250,95.219085
trinomial,0.012500,95.219085
trinomial,0.013750,95.219085
trinomial,0.015000,95.219085
trinomial,0.016250,95.219085
trinomial,0.017500,95.219085
trinomial,0.018750,94.060006
trinomial,0.020000,94.060006
trinomial,0.021250,94.060006
trinomial,0.022500,94.060006
trinomial,0.023750,94.060006
trinomial,0.025000,94.060006
trinomial,0.026250,94.060006
trinomial,0.027500,94.060006
trinomial,0.028750,94.060006
trinomial,0.030000,92.915037
trinomial,0.031250,92.915037
trinomial,0.032500,92.915037
trinomial,0.033750,92.915037
trinomial,0.035000,92.915037
trinomial,0.036250,92.915037
trinomial,0.037500,92.915037
trinomial,0.038750,92.915037
trinomial,0.040000,92.915037
trinomial,0.041250,92.915037
trinomial,0.042500,92.915037
trinomial,0.043750,92.915037
trinomial,0.045000,92.915037
trinomial,0.046250,92.915037
trinomial,0.047500,91.784005
trinomial,0.048750,91.784005
trinomial,0.050000,91.784005
trinomial,0.051250,91.784005
trinomial,0.052500,91.784005
trinomial,0.053750,91.784005
trinomial,0.055000,91.784005
trinomial,0.056250,91.784005
trinomial,0.057500,91.784005
trinomial,0.058750,91.784005
trinomial,0.060000,91.784005
trinomial,0.061250,91.784005
trinomial,0.062500,91.784005
trinomial,0.063750,91.784005
trinomial,0.065000,91.784005
trinomial,0.066250,91.784005
trinomial,0.067500,91.784005
trinomial,0.068750,91.784005
trinomial,0.070000,90.666741
trinomial,0.071250,90.666741
trinomial,0.072500,90.666741
trinomial,0.073750,90.666741
trinomial,0.075000,90.666741
trinomial,0.076250,90.666741
trinomial,0.077500,90.666741
trinomial,0.078750,90.666741
trinomial,0.080000,90.666741
trinomial,0.081250,90.666741
trinomial,0.082500,90.666741
trinomial,0.083750,90.666741
trinomial,0.085000,90.666741
trinomial,0.086250,90.666741
trinomial,0.087500,90.666741
trinomial,0.088750,90.666741
trinomial,0.090000,90.666741
trinomial,0.091250,90.666741
trinomial,0.092500,90.666741
trinomial,0.093750,90.666741
trinomial,0.095000,90.666741
trinomial,0.096250,90.666741
trinomial,0.097500,90.666741
trinomial,0.098750,89.563077
trinomial,0.100000,89.563077
trinomial,0.101250,89.563077
trinomial,0.102500,89.563077
trinomial,0.103750,89.563077
trinomial,0.105000,89.563077
trinomial,0.106250,89.563077
trinomial,0.107500,89.563077
trinomial,0.108750,89.563077
trinomial,0.110000,89.563077
trinomial,0.111250,89.563077
trinomial,0.112500,89.563077
trinomial,0.113750,89.563077
trinomial,0.115000,89.563077
trinomial,0.116250,89.563077
trinomial,0.117500,89.563077
trinomial,0.118750,89.563077
trinomial,0.120000,89.563077
