# calibration_result
parameter,truth,calibrated,error
kappa,2.0,2.0500235146517696,0.050023514651769574
theta,0.04,0.04150304352389506,0.0015030435238950618
sigma,0.3,0.33165392454269566,0.031653924542695666
rho,-0.7,-0.6772858694204287,0.02271413057957128
v0,0.04,0.039297511810469025,-0.0007024881895309754
rmse_price,,0.1333228988148108,
n_iter,,54,
success,,True,

# market_quotes_and_model_fit
K,T,C_market,iv_market,C_calibrated,iv_calibrated,iv_residual
80.0,0.25,20.722706,0.244657,20.724478,0.245246,5.882775e-04
85.0,0.25,15.938984,0.226543,15.978904,0.233065,6.522419e-03
90.0,0.25,11.541657,0.224083,11.505067,0.220830,-3.252654e-03
95.0,0.25,7.602456,0.213584,7.518768,0.208531,-5.053183e-03
100.0,0.25,4.113934,0.187686,4.283439,0.196252,8.565585e-03
105.0,0.25,1.930361,0.179695,2.014978,0.184306,4.610780e-03
110.0,0.25,0.772335,0.176282,0.736293,0.173416,-2.866467e-03
115.0,0.25,0.202936,0.164955,0.201127,0.164647,-3.080786e-04
120.0,0.25,0.043575,0.159554,0.041933,0.158710,-8.439678e-04
80.0,0.5,21.667344,0.232155,21.723694,0.238445,6.289117e-03
85.0,0.5,17.310052,0.230589,17.267229,0.227555,-3.034421e-03
90.0,0.5,13.179548,0.219951,13.117191,0.216760,-3.190668e-03
95.0,0.5,9.406886,0.206367,9.399927,0.206083,-2.835404e-04
100.0,0.5,6.421205,0.201807,6.249207,0.195613,-6.193452e-03
105.0,0.5,3.870911,0.188931,3.777120,0.185546,-3.384744e-03
110.0,0.5,1.961014,0.173245,2.031575,0.176218,2.973798e-03
115.0,0.5,1.011173,0.171199,0.956757,0.168080,-3.118490e-03
120.0,0.5,0.353681,0.157616,0.393867,0.161556,3.939799e-03
80.0,1.0,23.773096,0.231351,23.729037,0.229042,-2.309808e-03
85.0,1.0,19.567467,0.218491,19.613831,0.220382,1.891616e-03
90.0,1.0,15.722574,0.209839,15.787509,0.211991,2.151882e-03
95.0,1.0,12.166735,0.199630,12.316180,0.203883,4.252968e-03
100.0,1.0,9.478859,0.201693,9.262497,0.196097,-5.595941e-03
105.0,1.0,6.635978,0.187665,6.676735,0.188687,1.021625e-03
110.0,1.0,4.501621,0.179523,4.586433,0.181729,2.205601e-03
115.0,1.0,2.927173,0.173571,2.987184,0.175313,1.742280e-03
120.0,1.0,1.914743,0.172179,1.838556,0.169536,-2.642837e-03
80.0,2.0,27.275519,0.219181,27.296484,0.219838,6.568008e-04
85.0,2.0,23.563100,0.213839,23.570398,0.214031,1.916394e-04
90.0,2.0,20.095899,0.208611,20.091192,0.208504,-1.071826e-04
95.0,2.0,17.321604,0.212092,16.886848,0.203244,-8.848460e-03
100.0,2.0,13.783011,0.194515,13.980458,0.198242,3.727154e-03
105.0,2.0,11.159820,0.189377,11.388412,0.193493,4.115501e-03
110.0,2.0,8.808149,0.183486,9.118898,0.188994,5.507896e-03
115.0,2.0,7.267037,0.186473,7.170937,0.184744,-1.728895e-03
120.0,2.0,5.765677,0.185099,5.534155,0.180746,-4.353059e-03
